iter	Passed	Remaining
0	145	144974
1	156	78068
2	160	53218
3	168	41934
4	170	34007
5	172	28626
6	174	24722
7	175	21782
8	185	20411
9	188	18658
10	189	17045
11	190	15696
12	191	14545
13	197	13877
14	198	13011
15	199	12248
16	200	11579
17	201	10973
18	201	10429
19	203	9991
20	207	9692
21	209	9291
22	209	8916
23	210	8570
24	211	8256
25	212	7966
26	213	7694
27	214	7441
28	215	7209
29	216	6989
30	217	6787
31	218	6595
32	218	6414
33	224	6389
34	226	6232
35	227	6083
36	228	5939
37	229	5801
38	230	5669
39	231	5554
40	232	5434
41	233	5319
42	234	5209
43	237	5158
44	239	5072
45	240	4993
46	241	4899
47	242	4809
48	243	4723
49	244	4639
50	245	4566
51	246	4489
52	247	4416
53	248	4345
54	249	4279
55	253	4273
56	254	4218
57	256	4160
58	257	4104
59	258	4054
60	260	4007
61	261	3955
62	262	3901
63	263	3848
64	264	3797
65	266	3773
66	267	3726
67	268	3682
68	269	3637
69	270	3592
70	271	3549
71	272	3507
72	273	3467
73	274	3432
74	275	3394
75	276	3361
76	277	3324
77	278	3289
78	279	3254
79	283	3256
80	285	3238
81	286	3206
82	287	3170
83	288	3147
84	289	3118
85	290	3089
86	291	3059
87	292	3030
88	293	3002
89	296	2997
90	299	2988
91	300	2963
92	301	2938
93	302	2916
94	303	2892
95	304	2867
96	305	2842
97	306	2818
98	306	2793
99	307	2770
100	308	2747
101	312	2748
102	314	2735
103	315	2717
104	316	2696
105	317	2675
106	318	2655
107	319	2635
108	320	2615
109	321	2597
110	321	2578
111	322	2559
112	323	2540
113	326	2536
114	327	2520
115	328	2506
116	329	2487
117	331	2477
118	333	2471
119	335	2459
120	336	2444
121	337	2427
122	338	2411
123	340	2408
124	344	2409
125	345	2395
126	346	2380
127	347	2367
128	348	2352
129	349	2337
130	350	2322
131	351	2308
132	351	2293
133	352	2280
134	353	2266
135	357	2270
136	359	2261
137	360	2249
138	361	2236
139	361	2223
140	362	2210
141	363	2196
142	364	2183
143	365	2173
144	366	2161
145	367	2148
146	368	2136
147	370	2135
148	374	2141
149	376	2132
150	377	2123
151	378	2113
152	379	2103
153	380	2092
154	381	2081
155	382	2071
156	383	2061
157	387	2067
158	389	2061
159	390	2052
160	391	2040
161	392	2032
162	393	2021
163	394	2011
164	395	2001
165	396	1990
166	397	1980
167	397	1970
168	398	1961
169	401	1960
170	402	1951
171	403	1943
172	404	1934
173	405	1925
174	406	1916
175	407	1906
176	408	1897
177	409	1888
178	409	1880
179	410	1871
180	411	1863
181	412	1854
182	413	1846
183	417	1849
184	419	1846
185	420	1839
186	421	1831
187	422	1824
188	423	1816
189	424	1808
190	425	1800
191	425	1792
192	426	1785
193	427	1777
194	431	1782
195	433	1778
196	434	1771
197	435	1763
198	436	1756
199	437	1750
200	438	1742
201	439	1735
202	440	1727
203	440	1720
204	441	1713
205	442	1707
206	447	1714
207	448	1708
208	449	1702
209	450	1695
210	451	1689
211	452	1682
212	453	1676
213	454	1670
214	455	1664
215	457	1660
216	461	1665
217	463	1661
218	464	1656
219	465	1649
220	466	1643
221	467	1636
222	468	1630
223	468	1624
224	469	1617
225	470	1612
226	471	1606
227	473	1602
228	474	1598
229	475	1592
230	477	1588
231	478	1583
232	479	1577
233	480	1571
234	481	1566
235	481	1560
236	482	1554
237	483	1548
238	484	1543
239	485	1537
240	486	1531
241	489	1532
242	492	1533
243	493	1528
244	494	1523
245	495	1517
246	496	1512
247	497	1507
248	498	1502
249	498	1496
250	499	1491
251	500	1486
252	501	1480
253	504	1483
254	506	1479
255	507	1475
256	508	1470
257	509	1465
258	510	1460
259	511	1455
260	512	1451
261	513	1446
262	514	1441
263	515	1436
264	516	1431
265	517	1426
266	519	1427
267	521	1423
268	521	1418
269	522	1413
270	525	1412
271	526	1408
272	527	1403
273	527	1398
274	528	1394
275	529	1389
276	533	1393
277	535	1389
278	536	1386
279	537	1382
280	538	1378
281	539	1374
282	540	1369
283	541	1364
284	542	1361
285	543	1356
286	544	1352
287	545	1348
288	547	1347
289	548	1342
290	549	1338
291	550	1335
292	551	1331
293	552	1327
294	553	1322
295	554	1318
296	555	1314
297	556	1310
298	557	1306
299	558	1302
300	559	1298
301	565	1307
302	567	1304
303	568	1301
304	569	1297
305	570	1294
306	571	1290
307	572	1286
308	573	1282
309	574	1278
310	578	1280
311	579	1278
312	581	1275
313	581	1271
314	582	1267
315	583	1263
316	584	1259
317	585	1255
318	586	1251
319	587	1248
320	588	1244
321	588	1240
322	589	1236
323	594	1240
324	596	1238
325	597	1234
326	598	1231
327	599	1227
328	600	1224
329	600	1220
330	601	1216
331	602	1212
332	603	1209
333	604	1205
334	608	1207
335	609	1205
336	611	1202
337	611	1198
338	612	1195
339	614	1192
340	615	1188
341	616	1185
342	616	1181
343	617	1177
344	618	1174
345	619	1170
346	621	1169
347	622	1166
348	623	1162
349	624	1159
350	625	1156
351	626	1152
352	627	1149
353	627	1145
354	628	1142
355	629	1138
356	630	1135
357	631	1132
358	632	1129
359	633	1125
360	634	1122
361	636	1122
362	639	1121
363	640	1119
364	641	1116
365	642	1113
366	643	1110
367	644	1107
368	646	1104
369	646	1101
370	648	1099
371	649	1096
372	653	1098
373	655	1096
374	656	1094
375	657	1091
376	658	1088
377	659	1085
378	660	1082
379	661	1079
380	662	1076
381	663	1073
382	664	1070
383	669	1073
384	670	1071
385	671	1068
386	672	1065
387	673	1062
388	674	1059
389	676	1057
390	677	1054
391	678	1052
392	679	1049
393	682	1049
394	683	1047
395	685	1044
396	686	1042
397	687	1040
398	688	1037
399	690	1035
400	691	1033
401	693	1031
402	694	1029
403	697	1028
404	698	1025
405	698	1022
406	700	1020
407	700	1017
408	701	1014
409	702	1011
410	703	1008
411	705	1006
412	706	1004
413	707	1001
414	708	998
415	709	996
416	714	999
417	716	997
418	717	995
419	719	993
420	721	991
421	723	991
422	725	989
423	728	989
424	729	986
425	730	984
426	732	982
427	732	979
428	733	976
429	734	974
430	735	971
431	736	968
432	737	966
433	738	963
434	739	960
435	742	960
436	745	960
437	746	957
438	747	955
439	749	954
440	750	951
441	751	949
442	752	946
443	753	943
444	754	941
445	759	943
